date,interest
7/01/2018,250
14/01/2018,150
21/01/2018,240
28/01/2018,100
4/02/2018,230
11/02/2018,330
18/02/2018,340
25/02/2018,230
4/03/2018,200
11/03/2018,150
18/03/2018,300
25/03/2018,250
1/04/2018,200
8/04/2018,130
15/04/2018,50
22/04/2018,150
29/04/2018,50
6/05/2018,100
13/05/2018,130
20/05/2018,50
27/05/2018,20
3/06/2018,200
10/06/2018,170
17/06/2018,70
24/06/2018,50
1/07/2018,130
8/07/2018,80
15/07/2018,50
22/07/2018,80
29/07/2018,60
5/08/2018,110
12/08/2018,160
19/08/2018,80
26/08/2018,290
2/09/2018,150
9/09/2018,200
16/09/2018,270
23/09/2018,80
30/09/2018,200
7/10/2018,410
14/10/2018,130
21/10/2018,200
28/10/2018,280
4/11/2018,250
11/11/2018,400
18/11/2018,370
25/11/2018,200
2/12/2018,220
9/12/2018,310
16/12/2018,440
23/12/2018,710
30/12/2018,240
6/01/2019,270
13/01/2019,200
20/01/2019,190
27/01/2019,170
3/02/2019,270
10/02/2019,250
17/02/2019,290
24/02/2019,180
3/03/2019,260
10/03/2019,250
17/03/2019,270
24/03/2019,180
31/03/2019,150
7/04/2019,170
14/04/2019,150
21/04/2019,80
28/04/2019,140
5/05/2019,200
12/05/2019,150
19/05/2019,190
26/05/2019,190
2/06/2019,140
9/06/2019,260
16/06/2019,120
23/06/2019,70
30/06/2019,120
7/07/2019,120
14/07/2019,200
21/07/2019,0
28/07/2019,220
4/08/2019,110
11/08/2019,130
18/08/2019,150
25/08/2019,120
1/09/2019,160
8/09/2019,70
15/09/2019,170
22/09/2019,110
29/09/2019,340
6/10/2019,320
13/10/2019,370
20/10/2019,290
27/10/2019,140
3/11/2019,390
10/11/2019,270
17/11/2019,230
24/11/2019,290
1/12/2019,280
8/12/2019,350
15/12/2019,410
22/12/2019,810
29/12/2019,190
5/01/2020,310
12/01/2020,210
19/01/2020,330
26/01/2020,310
2/02/2020,130
9/02/2020,280
16/02/2020,330
23/02/2020,260
1/03/2020,280
8/03/2020,200
15/03/2020,380
22/03/2020,290
29/03/2020,200
5/04/2020,380
12/04/2020,250
19/04/2020,210
26/04/2020,260
3/05/2020,200
10/05/2020,300
17/05/2020,180
24/05/2020,160
31/05/2020,270
7/06/2020,150
14/06/2020,190
21/06/2020,80
28/06/2020,140
5/07/2020,100
12/07/2020,200
19/07/2020,180
26/07/2020,140
2/08/2020,230
9/08/2020,90
16/08/2020,70
23/08/2020,210
30/08/2020,330
6/09/2020,210
13/09/2020,170
20/09/2020,190
27/09/2020,450
4/10/2020,390
11/10/2020,410
18/10/2020,180
25/10/2020,450
1/11/2020,350
8/11/2020,500
15/11/2020,250
22/11/2020,460
29/11/2020,360
6/12/2020,320
13/12/2020,450
20/12/2020,1000
27/12/2020,430
3/01/2021,400
10/01/2021,370
17/01/2021,370
24/01/2021,500
31/01/2021,310
7/02/2021,370
14/02/2021,340
21/02/2021,360
28/02/2021,180
7/03/2021,300
14/03/2021,160
21/03/2021,180
28/03/2021,180
4/04/2021,150
11/04/2021,250
18/04/2021,180
25/04/2021,110
2/05/2021,220
9/05/2021,250
16/05/2021,190
23/05/2021,250
30/05/2021,70
6/06/2021,110
13/06/2021,40
20/06/2021,70
27/06/2021,180
4/07/2021,70
11/07/2021,160
18/07/2021,130
25/07/2021,170
1/08/2021,200
8/08/2021,210
15/08/2021,100
22/08/2021,290
29/08/2021,80
5/09/2021,130
12/09/2021,200
19/09/2021,130
26/09/2021,170
3/10/2021,160
10/10/2021,280
17/10/2021,350
24/10/2021,340
31/10/2021,290
7/11/2021,310
14/11/2021,250
21/11/2021,180
28/11/2021,300
5/12/2021,260
12/12/2021,300
19/12/2021,660
26/12/2021,440
